FoodCode,Food_Description,Keep
56205420,Rice_white_cooked_regular_fat_added_in_cooking,1
56205510,Brown_rice_cooked_regular_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS,0
56205510,Rice_brown_cooked_regular_fat_added_in_cooking,1
56207030,Wheat_cream_of_cooked_instant_fat_not_added_in_cooking,1
56207030,Wheat_cream_of_cooked_instant_fat_not_added_in_cooking_W_MILK,0
58132110,Spaghetti_with_tomato_sauce_meatless,1
58132110,Spaghetti_with_tomato_sauce_meatless_WO_FAT,0
58132310,Spaghetti_with_tomato_sauce_and_meatballs_or_spaghetti_with_meat_sauce_or_spaghetti_with_meat_sauce_and_meatballs,1
58132310,Spaghetti_with_tomato_sauce_and_meatballs_or_spaghetti_with_meat_sauce_or_spaghetti_with_meat_sauce_and_meatballs_WO_FAT,0
58132340,Spaghetti_with_tomato_sauce_and_vegetables,1
58132340,Spaghetti_with_tomato_sauce_and_vegetables_WO_FAT,0
58132350,Spaghetti_with_tomato_sauce_meatless_whole_wheat_noodles_WO_FAT,0
58132350,Spaghetti_with_tomato_sauce_meatless_whole_wheat_noodles,1
58132910,Spaghetti_with_tomato_sauce_and_poultry_WO_FAT,0
58132910,Spaghetti_with_tomato_sauce_and_poultry,1
58145110,Macaroni_or_noodles_with_cheese_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS,0
58145110,Macaroni_or_noodles_with_cheese,1
58160110,Rice_with_beans,1
58160110,Rice_with_beans_WO_FAT,0
58160120,Rice_with_beans_and_tomatoes,1
58160120,Rice_with_beans_and_tomatoes_WO_FAT,0
58160150,Red_beans_and_rice_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS,0
58160150,Red_beans_and_rice_WO_FAT,0
58160150,Red_beans_and_rice,1
58161300,White_rice_with_tomato_sauce,1
58161300,White_rice_with_tomato_sauce_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS,0
58161310,Rice_brown_with_tomato_sauce_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS,0
58161310,Rice_brown_with_tomato_sauce,1
58161310,Rice_brown_with_tomato_sauce_WO_FAT,0
58161320,Rice_brown_with_beans_WO_FAT,0
58161320,Rice_brown_with_beans,1
63409010,Guacamole_NFS,1
63409010,,0
71403000,White_potato_home_fries,1
71403000,White_potato_home_fries_WO_FAT,0
72104220,Chard_cooked_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS,0
72104220,Chard_cooked_fat_added_in_cooking,1
72125221,Spinach_cooked_from_fresh_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS,0
72125221,Spinach_cooked_from_fresh_fat_added_in_cooking_W_BUTTER_NFS,0
72125221,Spinach_cooked_from_fresh_fat_added_in_cooking,1
72201221,Broccoli_cooked_from_fresh_fat_added_in_cooking,1
72201221,Broccoli_cooked_from_fresh_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS,0
72201221,Broccoli_cooked_from_fresh_fat_added_in_cooking_W_BUTTER_NFS,0
73102221,Carrots_cooked_from_fresh_fat_added_in_cooking,1
73102221,Carrots_cooked_from_fresh_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS,0
73102221,Carrots_cooked_from_fresh_fat_added_in_cooking_W_ANIMAL_FAT_OR_MEAT_DRIPPINGS,0
73102221,Carrots_cooked_from_fresh_fat_added_in_cooking_W_BUTTER_NFS,0
73409000,Sweetpotato_casserole_or_mashed,0
73409000,Sweetpotato_casserole_or_mashed_WO_FAT,0
73409000,Sweet_potato_casserole_or_mashed,1
75141000,Cabbage_salad_or_coleslaw_with_dressing,1
75141000,Cabbage_salad_or_coleslaw_with_dressing_W_VINEGAR,0
75202021,Asparagus_cooked_from_fresh_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS,0
75202021,Asparagus_cooked_from_fresh_fat_added_in_cooking_W_BUTTER_NFS,0
75202021,Asparagus_cooked_from_fresh_fat_added_in_cooking,1
75205031,Beans_string_green_cooked_from_fresh_fat_added_in_cooking,1
75205031,Beans_string_green_cooked_from_fresh_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS,0
75205031,Beans_string_green_cooked_from_fresh_fat_added_in_cooking_W_BUTTER_NFS,0
75211030,Cabbage_green_cooked_fat_added_in_cooking_W_ANIMAL_FAT_OR_MEAT_DRIPPINGS,0
75211030,Cabbage_green_cooked_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS,0
75211030,Cabbage_green_cooked_fat_added_in_cooking,1
75214021,Cauliflower_cooked_from_fresh_fat_added_in_cooking_W_ANIMAL_FAT_OR_MEAT_DRIPPINGS,0
75214021,Cauliflower_cooked_from_fresh_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS,0
75214021,Cauliflower_cooked_from_fresh_fat_added_in_cooking,1
75216121,Corn_yellow_cooked_from_fresh_fat_added_in_cooking_W_BUTTER_NFS,0
75216121,Corn_yellow_cooked_from_fresh_fat_added_in_cooking,1
75216121,Corn_yellow_cooked_from_fresh_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS,0
75216122,Corn_yellow_cooked_from_frozen_fat_added_in_cooking_W_BUTTER_NFS,0
75216122,Corn_yellow_cooked_from_frozen_fat_added_in_cooking,1
75216122,Corn_yellow_cooked_from_frozen_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS,0
75216221,Corn_white_cooked_from_fresh_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS,1
75216221,Corn_white_cooked_from_fresh_fat_added_in_cooking_W_BUTTER_NFS,0
75217020,Eggplant_cooked_fat_added_in_cooking,1
75217020,Eggplant_cooked_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS,0
75219020,Mushrooms_cooked_NS_as_to_form_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS,0
75219020,Mushrooms_cooked_NS_as_to_form_fat_added_in_cooking,1
75219021,Mushrooms_cooked_from_fresh_fat_added_in_cooking_W_ANIMAL_FAT_OR_MEAT_DRIPPINGS,0
75219021,Mushrooms_cooked_from_fresh_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS,0
75219021,Mushrooms_cooked_from_fresh_fat_added_in_cooking_W_BUTTER_NFS,0
75219021,Mushrooms_cooked_from_fresh_fat_added_in_cooking,1
75221021,Onions_mature_cooked_or_sauteed_from_fresh_fat_added_in_cooking_W_ANIMAL_FAT_OR_MEAT_DRIPPINGS,0
75221021,Onions_mature_cooked_or_sauteed_from_fresh_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS,0
75221021,Onions_mature_cooked_or_sauteed_from_fresh_fat_added_in_cooking_W_BUTTER_NFS,0
75221021,Onions_mature_cooked_or_sauteed_from_fresh_fat_added_in_cooking,1
75222020,Parsnips_cooked_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS,0
75222020,Parsnips_cooked_fat_added_in_cooking,1
75224032,Peas_green_cooked_from_frozen_fat_added_in_cooking_W_BUTTER_NFS,0
75224032,Peas_green_cooked_from_frozen_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS,1
75226020,Peppers_green_cooked_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS,0
75226020,Peppers_green_cooked_fat_added_in_cooking,1
75226060,Peppers_red_cooked_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS,0
75226060,Peppers_red_cooked_fat_added_in_cooking,1
75226060,Peppers_red_cooked_fat_added_in_cooking_W_ANIMAL_FAT_OR_MEAT_DRIPPINGS,0
75231021,Snowpea_pea_pod_cooked_from_fresh_fat_added_in_cooking,1
75231021,Snowpea_pea_pod_cooked_from_fresh_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS,0
75233020,Squash_summer_cooked_NS_as_to_form_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS,0
75233020,Squash_summer_cooked_NS_as_to_form_fat_added_in_cooking,1
75233021,Squash_summer_cooked_from_fresh_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS,0
75233021,Squash_summer_cooked_from_fresh_fat_added_in_cooking_W_BUTTER_NFS,0
75233021,Squash_summer_cooked_from_fresh_fat_added_in_cooking_W_ANIMAL_FAT_OR_MEAT_DRIPPINGS,0
75233021,Squash_summer_cooked_from_fresh_fat_added_in_cooking,1
75307000,Green_peppers_and_onions_cooked_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS,0
75307000,Green_peppers_and_onions_cooked_fat_added_in_cooking,1
75307000,Green_peppers_and_onions_cooked_fat_added_in_cooking_WO_FAT,0
75330120,Vegetable_combination_including_carrots_broccoli_andor_dark_green_leafy_cooked_no_sauce_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS,0
75330120,Vegetable_combination_including_carrots_broccoli_andor_dark_green_leafy_cooked_no_sauce_fat_added_in_cooking,1
82104000,Olive_oil,1
82104000,,0
92101900,Coffee_latte_W_WHOLE_MILK,0
92101900,Coffee_latte_W_2_MILK,0
92101900,Coffee_latte,1
92101900,Coffee_Latte,0
92101900,Coffee_latte_W_SKIM_MILK,0
92101900,Coffee_latte_W_SOY_MILK,1
92101900,Coffee_latte_W_1_MILK,0
92101920,Coffee_beverage_Frappuccino_regular,1
92101920,Frappuccino_regular_W_2_MILK,0
92101920,Coffee_beverage_Frappuccino_regular_W_SKIM_MILK,0
92101920,Blended_coffee_beverage_made_with_regular_coffee_milk_and_ice_sweetened,0
92101950,Coffee_mocha_W_2_MILK,0
92101950,Coffee_mocha,1
92101950,Coffee_mocha_W_WHOLE_MILK,0
92101950,Coffee_mocha_W_1_MILK,0
92101950,Coffee_mocha_W_SKIM_MILK,0
92161000,Cappuccino_W_2_MILK,0
92161000,Cappuccino,1
