FoodID	taxonomy	Main.food.description
11432500	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_Yogurt_fruit_variety;L5_;Yogurt_fruit_variety_lowfat_milk_sweetened_with_low_calorie_sweetener	Yogurt fruit variety lowfat milk sweetened with low calorie sweetener
11433000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_Yogurt_fruit_variety;L5_;Yogurt_fruit_variety_nonfat_milk	Yogurt fruit variety nonfat milk
11433500	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_Yogurt_fruit_variety;L5_;Yogurt_fruit_variety_nonfat_milk_sweetened_with_lowcalorie_sweetener	Yogurt fruit variety nonfat milk sweetened with lowcalorie sweetener
11460000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_Yogurt_frozen_flavored;L5_;Yogurt_frozen_flavors_other_than_chocolate_NS_as_to_type_of_milk	Yogurt frozen flavors other than chocolate NS as to type of milk
11460160	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_Yogurt_frozen_flavored;L5_;Yogurt_frozen_chocolate_lowfat_milk	Yogurt frozen chocolate lowfat milk
11460170	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_Yogurt_frozen_flavored;L5_;Yogurt_frozen_flavors_other_than_chocolate_lowfat_milk	Yogurt frozen flavors other than chocolate lowfat milk
11460410	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_Yogurt_frozen_flavored;L5_;Yogurt_frozen_flavors_other_than_chocolate_nonfat_milk_with_lowcalorie_sweetener	Yogurt frozen flavors other than chocolate nonfat milk with lowcalorie sweetener
11460440	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_Yogurt_frozen_flavored;L5_;Yogurt_frozen_flavors_other_than_chocolate_whole_milk	Yogurt frozen flavors other than chocolate whole milk
11461270	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_Yogurt_frozen_flavored;L5_;Yogurt_frozen_cone_flavors_other_than_chocolate_lowfat_milk	Yogurt frozen cone flavors other than chocolate lowfat milk
11511000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_Chololate_or_other_flavored;L5_;Milk_chocolate_NFS	Milk chocolate NFS
